bacru	ba'u
badri	dri
bajra	baj
bakfu	baf
bakni	bak
balre	ba'e
balvi	bav
bancu	bac
bandu	bad
bangu	ban
bangu	bau
banli	ba'i
banli	bal
banro	ba'o
banxa	bax
banzu	baz
bapli	bai
bapli	bap
barda	bra
bargu	bag
barna	ba'a
bartu	bar
basti	bas
batci	bat
bebna	beb
bemro	be'o
bemro	bem
bende	be'e
bende	bed
bengo	beg
benji	be'i
benji	bej
bersa	be'a
bersa	bes
berti	ber
besna	ben
betfu	be'u
betfu	bef
betri	bet
bevri	bei
bevri	bev
bifce	bic
bikla	bik
bilga	big
bilma	bi'a
bilni	bil
bindo	bid
binxo	bi'o
binxo	bix
birka	bir
birti	bit
bisli	bis
bitmu	bi'u
bitmu	bim
blabi	lab
blanu	bla
bliku	bli
bloti	blo
bloti	lo'i
bloti	lot
bolci	boi
bolci	bol
bongu	bo'u
bongu	bog
botpi	bo'i
botpi	bot
boxfo	bo'o
boxfo	bof
boxna	bo'a
boxna	bon
brazo	raz
bredi	bre
bredi	red
bridi	bri
brife	bi'e
brife	bif
briju	bij
brito	rit
broda	rod
brode	bo'e
bruna	bu'a
bruna	bun
budjo	bu'o
budjo	buj
bukpu	bu'u
bukpu	buk
bumru	bum
bunda	bud
bunre	bu'e
bunre	bur
burcu	bru
cabna	cab
cabra	ca'a
cadzu	dzu
cafne	caf
calku	cak
cando	cad
cange	cag
canja	caj
canko	ca'o
canlu	ca'u
canlu	cal
canpa	cna
canre	can
carmi	cai
carmi	cam
carna	car
cartu	cat
carvi	cav
casnu	snu
catke	ca'e
catlu	cta
catni	ca'i
caxno	cax
cecla	ce'a
cecla	cel
cecmu	ce'u
cecmu	cem
cenba	cne
censa	ces
centi	cen
cerda	ced
cerni	cer
certu	cre
cevni	cei
cevni	cev
cfari	cfa
cfika	fi'a
cfika	fik
cfila	cfi
cfipu	fi'u
ciblu	blu
cidja	dja
cidni	cid
cidro	dro
cifnu	cif
cigla	cig
cikna	cik
ciksi	cki
cilce	cic
cilmo	cim
cilre	cli
cilta	cil
cinje	cij
cinmo	cni
cinri	ci'i
cinse	cin
cipni	cpi
cipra	cip
cirko	cri
ciska	ci'a
ciste	ci'e
citka	cti
citno	ci'o
citno	cit
citri	cir
civla	civ
cizra	ciz
ckafi	kaf
ckaji	kai
ckana	cka
ckape	cap
ckasu	cas
ckeji	cke
ckeji	kej
ckiku	kik
ckilu	ci'u
ckini	ki'i
ckire	kir
ckule	cu'e
ckule	kul
ckunu	ku'u
cladu	lau
clani	cla
claxu	cau
clira	lir
clite	lit
cliva	li'a
cliva	liv
clupa	cup
cmalu	cma
cmana	ma'a
cmavo	ma'o
cmene	cme
cmene	me'e
cmila	mi'a
cmima	cmi
cmima	mim
cmoni	cmo
cmoni	co'i
cnano	na'o
cnebo	ne'o
cnebo	neb
cnemu	ne'u
cnemu	nem
cnici	nic
cnino	ni'o
cnino	nin
cnisa	nis
cnita	ni'a
cnita	nit
cokcu	cko
condi	cno
condi	coi
condi	con
cortu	cor
cortu	cro
cpacu	cpa
cpare	par
cpedu	cpe
crane	cra
creka	cek
crepu	rep
cribe	rib
crida	rid
crino	ri'o
cripu	rip
crisa	cis
ctebi	teb
cteki	ce'i
cteki	tek
ctino	ti'o
ctuca	ctu
cukla	cuk
cukta	cku
culno	clu
cumki	cu'i
cumki	cum
cumla	cul
cunso	cu'o
cunso	cun
cuntu	cu'u
cupra	pra
curmi	cru
curnu	cur
curve	cuv
cusku	cus
cusku	sku
cutci	cuc
cutne	cut
cuxna	cu'a
cuxna	cux
dacru	dac
dacti	dai
dadjo	daj
dakfu	dak
damba	da'a
damba	dab
dandu	dad
danfu	daf
danlu	da'u
danlu	dal
danmo	dam
danre	da'e
danti	dan
daplu	plu
dapma	dap
dargu	dag
darlu	dau
darno	da'o
darno	dar
darxi	da'i
darxi	dax
dasni	das
daspo	spo
dasri	sri
decti	dec
degji	deg
dejni	dej
dekto	dek
delno	de'o
delno	del
dembi	deb
denci	de'i
denci	den
denmi	dem
denpa	de'a
denpa	dep
dertu	de'u
dertu	der
derxi	dre
desku	des
detri	det
dicra	dir
dikca	dic
diklo	klo
dikni	dik
dilnu	dil
dimna	dim
dinju	di'u
dinju	dij
dinko	di'o
dirba	dib
dirce	di'e
dirgo	dig
dizlo	diz
dizlo	dzi
djacu	jac
djacu	jau
djedi	dei
djedi	dje
djica	dji
djine	jin
djuno	ju'o
djuno	jun
donri	do'i
donri	dor
dotco	do'o
dotco	dot
drani	dra
drata	dat
drudi	dru
drudi	rud
dugri	dug
dukse	du'e
dukse	dus
dukti	dut
dunda	du'a
dunda	dud
dunja	duj
dunku	du'u
dunku	duk
dunli	du'i
dunli	dun
dunra	dur
dzena	dze
dzipo	zi'o
dzipo	zip
facki	fa'i
facki	fak
fadni	fad
fagri	fag
falnu	fan
fanmo	fa'o
fanmo	fam
fanza	faz
fapro	fap
fapro	pro
farlu	fa'u
farlu	fal
farna	fa'a
farna	far
farvi	fav
fasnu	fau
fatci	fac
fatne	fa'e
fatne	fat
fatri	fai
febvi	feb
femti	fem
fendi	fed
fengu	fe'u
fengu	feg
fenki	fek
fenra	fe'a
fenra	fer
fenso	fe'o
fenso	fen
fepni	fei
fepni	fep
ferti	fre
festi	fes
fetsi	fe'i
fetsi	fet
figre	fig
filso	fis
finpe	fi'e
finpe	fip
finti	fi'i
finti	fin
flalu	fla
flecu	fle
fliba	fli
flira	fir
foldi	flo
foldi	foi
fonmo	fo'o
fonmo	fom
fonxa	fon
forca	fro
fraso	fas
frati	fra
fraxu	fax
frica	fic
friko	fi'o
frili	fil
friti	fit
frumu	fru
fukpi	fu'i
fukpi	fuk
fulta	flu
fulta	ful
funca	fu'a
funca	fun
fusra	fur
fuzme	fu'e
fuzme	fuz
gacri	gai
gadri	gad
galfi	ga'i
galfi	gaf
galtu	ga'u
galtu	gal
ganlo	ga'o
ganra	gan
ganse	ga'e
ganse	gas
ganxo	gax
ganzu	gaz
gapci	gac
gapru	gap
garna	gar
gasnu	gau
gasta	gat
genja	gej
gento	ge'o
gento	get
genxu	gex
gerku	ge'u
gerku	ger
gerna	ge'a
gerna	gen
gidva	gi'a
gidva	gid
gigdo	gi'o
gigdo	gig
ginka	gik
girzu	gir
girzu	gri
gismu	gi'u
gismu	gim
glare	gla
gleki	gei
gleki	gek
gletu	gle
gletu	let
glico	gic
glico	gli
gluta	glu
gocti	goc
gotro	got
gradu	rau
grake	gra
grana	ga'a
grasu	ras
greku	rek
grusi	rus
grute	rut
gubni	gub
gugde	gu'e
gugde	gug
gundi	gud
gunka	gu'a
gunka	gun
gunma	gum
gunro	gu'o
gunro	gur
gunta	gut
gurni	gru
guska	guk
gusni	gu'i
gusni	gus
gutci	guc
guzme	guz
guzme	zme
jadni	ja'i
jadni	jad
jalge	ja'e
jalge	jag
jamfu	jaf
jamfu	jma
jamna	jam
janbe	jab
janco	jan
janli	jal
jansu	jas
janta	jat
jarco	ja'o
jarki	jak
jaspu	jap
jatna	ja'a
javni	jva
jbama	bam
jbari	jba
jbena	jbe
jbera	jer
jbini	bi'i
jbini	bin
jdari	jar
jdice	jdi
jdima	di'a
jdini	di'i
jdini	din
jduli	dul
jduli	jdu
jecta	je'a
jecta	jec
jeftu	jef
jegvo	je'o
jegvo	jeg
jelca	jel
jemna	jme
jenca	jen
jendu	jed
jenmi	jei
jenmi	jem
jersi	je'i
jerxo	jex
jesni	jes
jetce	je'e
jetnu	je'u
jetnu	jet
jgalu	ja'u
jganu	jga
jgari	jai
jgena	jge
jgina	gin
jgira	jgi
jgita	git
jibni	jbi
jibri	jib
jicmu	cmu
jijnu	jij
jikca	jik
jilka	jil
jimca	jic
jimpe	jmi
jimte	jit
jinga	ji'a
jinga	jig
jinme	jim
jinru	jir
jinsa	jis
jinvi	ji'i
jinvi	jiv
jinzi	jiz
jipno	ji'o
jipno	jip
jitfa	jif
jitro	tro
jivna	jvi
jmaji	jaj
jmina	min
jmive	ji'e
jmive	miv
jordo	jo'o
jordo	jor
jorne	jo'e
jorne	jon
jubme	jbu
jubme	jub
jufra	ju'a
jufra	juf
jukni	juk
jukpa	jup
julne	ju'e
jundi	ju'i
jundi	jud
jungo	jug
junla	jul
junri	jur
jurme	jum
jursa	jus
jutsi	jut
juxre	jux
jvinu	ji'u
jvinu	vin
kagni	kag
kajde	jde
kakne	ka'e
kalri	kar
kalsa	kas
kalte	kat
kampu	kau
kancu	kac
kandi	kad
kanji	kaj
kanla	kal
kanro	ka'o
kansa	kan
kantu	ka'u
kanxe	kax
karbi	kab
katna	ka'a
kavbu	kav
kecti	ke'i
kecti	kec
kelci	kei
kelci	kel
kelvo	ke'o
kenra	ken
kensa	kes
kerfa	kre
kerlo	ker
ketco	ket
ketco	tco
kevna	ke'a
kevna	kev
kicne	ki'e
kicne	kic
kijno	kij
kilto	ki'o
kinli	kil
kisto	kis
klaji	laj
klaku	kak
klama	kla
klani	lai
klesi	kle
klesi	lei
klina	kli
kliti	kit
klupe	lu'e
klupe	lup
kluza	luz
kobli	ko'i
kobli	kob
kojna	ko'a
kojna	koj
kolme	ko'e
kolme	kol
komcu	kom
konju	ko'u
konju	kon
korbi	koi
korbi	kor
korcu	kro
korka	kok
kosta	kos
krasi	kra
krati	ka'i
krefu	ke'u
krefu	ref
krici	kri
krinu	ki'u
krinu	rin
krixa	ki'a
krixa	kix
kruca	kuc
kruji	ruj
kruvi	kru
kruvi	ruv
kubli	kub
kufra	kuf
kukte	kuk
kulnu	klu
kumfa	ku'a
kumfa	kum
kunra	kun
kunti	kut
